country,year,cereal_yield,fdi_perc_gdp,en_per_gdp,en_per_cap,co2_ttl,co2_per_cap,co2_per_gdp,pop_urb_aggl_perc,prot_area_perc,gdp,gni_per_cap,under_5_mort_rate,pop_growth_perc,pop,urb_pop_growth_perc,urb_pop
PHL,1997,2375.1,1.48401151711612,190.227837854151,511.849302878631,77403.036,1.06870223906428,397.181192010521,14.7716304649929,9.66393596811,82344374413.9339,1240.0,44.6,2.22782795083611,72427130.0,3.85388003801414,40414338.54
PHL,1998,2240.5,3.1672819647143,196.513696787058,514.255443732282,75650.21,1.02173627478392,390.438594178021,14.6287971511073,9.75548464744,72207022471.5941,1150.0,43.1,2.20358528904571,74040838.0,3.80361942368985,41981155.146
PHL,1999,2464.7,1.50249751473302,195.488562516072,515.988371920148,73020.971,0.964997615224198,365.6012555662981,14.4917455410454,9.81183789212,82995145600.7288,1030.0,41.8,2.17595169345713,75669587.0,3.75078739027103,43585682.112
PHL,2000,2580.8,2.76453465978189,193.842028076265,522.876992636072,79111.858,1.02330738346603,379.36260602411096,14.3716751132923,10.7442946223,81026294681.2439,1050.0,40.4,2.1446537827284,77309965.0,3.69507243632494,45226329.525
PHL,2001,2667.8,0.255697468622945,180.720787544539,491.081885025413,77164.681,0.977208612353095,359.61805027815,14.3086993302766,10.7453272439,76261998622.8919,1040.0,39.2,2.11741180773377,78964389.0,3.54309787022028,46857468.4326
PHL,2002,2730.5,1.89533479930354,176.715089993415,487.420665174294,76057.247,0.94328233405121,341.98841875415997,14.2507400681152,10.8503265038,81357657790.4137,1000.0,37.8,2.08789693667685,80630416.0,3.4935425705992,48523384.3488
PHL,2003,2823.3,0.585163269537213,168.708533983255,478.591340631315,76244.264,0.926486417780934,326.596308853048,14.1997113033406,10.8505447906,83908205719.8013,1040.0,36.7,2.04221314465452,82293990.0,3.42837395331695,50215792.698
PHL,2004,2992.2,0.752972185828746,157.18541447332,466.456412188147,78998.181,0.941163792266405,317.151221227088,14.1587068388132,10.8505447906,91371236939.219,1140.0,35.6,1.97648400094612,83936698.0,3.34369279778613,51923241.3828
PHL,2005,3049.0,1.7988478221146,150.115911926262,457.977631257469,81066.369,0.947630097981766,310.61420169521904,14.1282300428515,10.8505447906,103065972407.859,1210.0,34.5,1.89963149067507,85546427.0,3.24839952887022,53637609.729
PHL,2006,3180.8,2.39013403899673,141.437917072054,445.942632418569,67630.481,0.776324297612587,246.22380468815,14.1098101359361,10.8505447906,122210719245.942,1310.0,33.4,1.81844861776328,87116275.0,2.99176158653503,55266564.86
PHL,2007,3319.8,1.95233098670316,130.247699155967,430.245144106327,78580.143,0.886382525973764,268.333730575716,14.1015329821401,10.8505447906,149359920006.4,1510.0,32.4,1.74819899968441,88652631.0,2.90790483519627,56897258.5758
PHL,2008,3334.3,0.889387942816753,129.851130679387,439.214697849212,83156.559,0.922187692722996,272.63913340123804,14.0994182314092,10.8505447906,173602533345.578,1770.0,31.3,1.70058783368108,90173139.0,2.84699853014902,58540401.8388
SAU,1991,4200.6,0.121825015970557,204.743548888436,4175.00163769565,268475.738,16.1055512243605,789.821897243634,35.123328680598,7.60746946695,131335915472.951,8120.0,42.3,3.23545524751232,16669764.0,3.78226041153405,12839052.2328
SAU,1992,4191.6,-0.0579097110875227,222.776269560393,4609.37996954461,286807.071,16.6854278662464,806.424595199656,36.5795657997885,7.60745045331,136304139411.154,8620.0,39.7,3.06774680981488,17189075.0,3.61157826797074,13311219.68
SAU,1993,4462.3,1.03457091051789,227.596111451412,4579.61251648782,315567.352,17.8491148049856,887.0595727998531,36.9945338500836,7.71258679308,132151405582.785,8200.0,37.2,2.81442123879454,17679720.0,3.35531116019336,13765429.992
SAU,1994,4546.5,0.260061686261867,241.580778426771,4774.99635858743,310616.902,17.1441347537354,867.371011040115,37.177279638794,30.4851537833,134327104601.473,7800.0,35.0,2.44859882599857,18117969.0,2.98657886055516,14182746.1332
SAU,1995,3784.4,-1.3159463569398,243.97377276376,4734.28892573997,234856.682,12.7005543254337,654.502123459406,37.5134282166003,31.2594366791,142457681255.805,7860.0,33.3,2.0425615847819,18491845.0,2.57766287433011,14553082.015
SAU,1996,3429.4,-0.714748521257931,250.889078032464,4954.28602940617,258516.166,13.7607654488734,696.856365578602,38.0298914106628,31.2944575826,157743126866.827,8250.0,31.6,1.58069461130306,18786467.0,1.85984718440877,14826279.7564
SAU,1997,3562.7,1.84216957640824,234.413257303171,4690.48552995512,216826.043,11.3995141277851,569.7058910643709,38.6828591825963,31.2944257811,164993858632.323,8600.0,29.8,1.23878825665631,19020639.0,1.51716373694266,15052933.7046
SAU,1998,3540.4,2.93845400424673,242.183569671046,4922.25163370844,207288.176,10.7644988492027,529.6325647325069,39.3513689739061,31.2943930592,145772799590.4,8300.0,28.4,1.2331750926036,19256649.0,1.5107777945375,15282076.6464
SAU,1999,3575.4,-0.483938586257172,248.761954071084,4935.51008908917,227229.322,11.6058131491707,584.96177810557,39.8615490749925,31.2943930592,160957062621.867,8050.0,27.1,1.65972267888246,19578923.0,1.93655688109898,15580906.9234
SAU,2000,3516.3,-0.998221211575132,248.742565000949,5054.79729987255,297749.399,14.853843818364,730.945870291674,40.1011340527314,31.2943930592,188441864874.667,8390.0,25.8,2.35398845371083,20045276.0,2.63005839940886,15996130.248
SAU,2001,3931.9,0.0107315209888605,260.406794886327,5157.09784399409,295842.559,14.304642886016,722.3105550109091,40.0295799507736,31.2943930592,183012268441.6,8660.0,24.7,3.12497406145794,20681576.0,3.42527458743493,16553533.4304
SAU,2002,4047.5,-0.325711713880595,285.180663307312,5449.048160487,323458.736,15.0704771432533,788.726497085421,39.7275748783771,31.2943930592,188551196398.933,8610.0,23.7,3.70906213701971,21463072.0,4.00846355828017,17230554.2016
SAU,2003,4228.8,-0.273336912538154,274.924013511246,5434.78121680705,323671.422,14.4920768979794,733.096657614276,39.3219625482177,31.2943930592,214572800000.0,9280.0,22.7,3.97929153259057,22334371.0,4.27779921693591,17983635.5292
